,City,Cloudiness,Humidity,Lat,Long,Max Temp,Wind Speed
114,Mehamn,40,72,71.03,27.85,14.0,12.75
115,Castro,92,97,-42.48,-73.76,59.77,2.77
116,Vytegra,0,78,61.01,36.45,10.95,8.59
117,Bathsheba,75,78,13.22,-59.52,78.8,19.46
118,Kuybysheve,88,100,47.36,36.65,42.67,10.56
119,Doha,0,29,25.29,51.53,87.8,2.24
120,Loding,75,86,48.05,12.68,37.4,8.05
121,Adrar,0,34,27.87,-0.29,60.8,9.17
122,Estepona,75,93,36.43,-5.15,53.6,9.17
123,Hidrolandia,88,100,-4.41,-40.44,72.19,2.89
124,Molchanovo,56,80,57.58,83.76,12.34,15.37
125,Mamallapuram,0,46,12.63,80.17,91.4,11.41
126,Sambava,36,100,-14.27,50.17,80.29,3.74
127,Eyrarbakki,0,57,63.86,-21.15,30.2,6.93
128,Zhezkazgan,75,72,47.8,67.71,17.6,11.18
129,Kalmar,90,94,56.66,16.36,32.0,5.82
130,Araxa,32,100,-19.59,-46.94,63.24,3.11
131,Kudahuvadhoo,56,100,2.67,72.89,83.04,11.45
132,Buzdyak,92,87,54.57,54.53,14.82,6.42
133,Marinette,90,73,45.1,-87.63,19.4,6.93
134,Dakar,0,93,14.69,-17.45,66.2,10.29
135,Shubarshi,80,84,48.59,57.19,27.01,16.15
136,Merrill,75,60,42.03,-121.6,42.8,20.8
137,Havelock,1,64,34.88,-76.9,39.2,8.37
138,Qarchak,40,23,35.44,51.57,66.2,18.34
139,Necochea,0,66,-38.55,-58.74,55.95,9.55
140,Alvaraes,76,99,-3.22,-64.8,73.09,3.11
141,Manadhoo,8,100,5.77,73.38,82.41,7.14
142,Calama,0,65,-22.46,-68.93,44.6,16.11
143,Aasiaat,56,100,68.71,-52.87,10.36,13.8
144,Berlevag,40,72,70.86,29.09,12.2,12.75
145,Araouane,0,27,18.9,-3.53,78.0,7.81
146,Victoria,75,79,5.28,115.24,86.0,11.41
147,Maroantsetra,92,100,-15.43,49.74,77.46,2.1
148,Kamenka,92,91,53.19,44.05,20.94,13.62
149,Evinayong,76,88,1.44,10.55,76.87,3.29
150,Ludvika,90,92,60.15,15.18,24.8,6.93
151,Scarborough,92,93,54.28,-0.41,35.6,4.7
152,Nador,0,87,35.17,-2.93,60.8,4.7
153,Maragogi,48,99,-9.01,-35.22,74.31,6.64
154,Mangrol,8,32,25.33,76.51,88.57,4.23
155,Kruisfontein,24,86,-34.0,24.73,68.46,17.6
156,Bani,44,94,15.89,120.27,78.63,4.29
157,Edd,0,25,13.93,41.69,93.16,1.88
158,Nokaneng,8,86,-19.66,22.19,84.16,7.09
159,Timbuktu,0,27,16.77,-3.01,78.49,6.35
160,Cascais,75,100,38.7,-9.42,50.0,4.7
161,Aqtobe,0,52,50.28,57.21,17.6,13.42
162,Cap-aux-Meules,68,94,47.38,-61.86,29.17,27.16
163,Olkusz,64,75,50.28,19.56,41.0,2.24
164,Mbanza-Ngungu,8,47,-5.25,14.87,85.65,5.08
165,Baillif,0,100,16.02,-61.75,69.8,13.06
166,Gat,0,49,14.69,-16.54,72.96,7.14
167,Buribay,88,92,51.96,58.16,14.46,6.76
168,Kidal,0,29,18.44,1.41,78.67,6.53
169,Pala,8,41,9.71,76.68,93.2,5.82
170,Rundu,0,57,-17.91,19.77,84.66,5.41
171,Chabahar,0,86,25.29,60.65,76.2,6.24
172,Inhambane,40,70,-23.87,35.38,84.2,9.17
173,Ilyich,32,60,44.09,41.37,50.55,0.6
174,Narok,0,84,-1.09,35.87,71.88,3.85
175,Yuzhnyy,92,94,53.54,39.45,24.22,16.42
176,Amapa,20,94,15.09,-87.97,69.8,1.28
177,Dikson,76,99,73.51,80.55,-5.44,21.74
178,Pirkkala,0,72,61.47,23.65,14.0,8.05
179,Muzhi,80,89,65.4,64.7,15.45,15.48
180,Cidreira,0,93,-30.17,-50.22,57.61,2.73
181,Werota,0,24,11.92,37.7,80.43,3.56
182,Sisimiut,32,59,66.94,-53.67,-6.83,1.32
183,Vestmannaeyjar,0,58,63.44,-20.27,30.2,2.24
184,Mantua,0,86,45.16,10.79,39.2,4.7
185,Khandbari,24,74,27.38,87.21,37.72,1.1
186,Marquette,90,92,46.54,-87.4,28.4,9.17
187,Skibbereen,20,99,51.55,-9.27,32.0,9.17
188,Gamba,0,58,28.28,88.52,26.16,5.86
189,Moura,75,100,38.14,-7.45,57.2,9.17
190,Aksu,0,61,52.04,76.93,17.6,22.37
191,Grindavik,0,73,63.84,-22.43,21.2,1.12
192,Rocha,0,81,-34.48,-54.34,45.82,2.62
193,Peniche,75,100,39.36,-9.38,48.2,4.7
194,Havre-Saint-Pierre,90,73,50.23,-63.6,26.6,11.41
195,Novomyrhorod,76,100,48.8,31.65,37.23,8.25
196,Longyearbyen,20,64,78.22,15.63,1.4,13.87
197,Mbarara,0,85,-0.61,30.65,76.74,3.89
198,Oranjemund,24,98,-28.55,16.43,62.56,15.14
199,Lockport,40,92,50.09,-96.94,5.0,9.17
200,Opuwo,0,68,-18.06,13.84,76.92,4.12
201,Port-Gentil,40,79,-0.72,8.78,84.2,10.29
202,Kampene,20,37,-3.59,26.67,92.26,3.06
203,Thinadhoo,76,100,0.53,72.93,84.21,11.12
204,Evreux,90,93,49.02,1.15,44.6,19.62
205,Jumla,80,60,29.28,82.18,38.85,1.99
206,Trojes,75,81,41.76,19.96,51.8,6.93
207,Kedougou,0,65,12.56,-12.19,77.0,6.93
208,Kibala,8,24,9.11,18.35,97.35,4.79
209,Bria,12,31,6.54,21.99,93.52,4.56
210,Zaranj,0,26,30.95,61.86,78.8,6.93
211,Turtas,68,54,58.94,69.13,17.43,11.83
212,Ambilobe,92,100,-13.19,49.05,74.62,5.57
213,Pangody,0,86,65.85,74.49,6.67,10.04
214,Chicama,75,88,-7.84,-79.15,66.2,3.36
215,Qandala,0,40,11.47,49.87,82.72,6.31
216,Rome,0,71,41.89,12.48,50.0,4.7
217,Kulachi,44,50,31.93,70.46,71.29,6.76
218,Rossosh,92,97,50.2,39.58,36.01,6.64
219,Faya,0,24,18.39,42.45,69.8,5.82
220,Birin,12,40,35.01,36.67,77.28,13.69
221,Nsanje,8,92,-16.92,35.26,83.04,3.51
222,Saint-Philippe,90,92,45.36,-73.48,30.2,12.75
223,Kerman,20,12,30.29,57.06,68.0,9.17
224,Ostrovnoy,0,80,68.05,39.51,8.25,4.23
225,Itaperuna,92,99,-21.2,-41.89,69.63,1.32
226,Mattru,88,96,7.62,-11.83,77.32,3.78
227,Demba,0,63,-5.47,22.27,87.76,3.0
228,Nanortalik,0,100,60.14,-45.24,16.44,1.99
229,Bredy,64,86,52.43,60.33,16.17,6.87
230,Barcelos,90,93,41.53,-8.62,51.8,9.17
231,Sistranda,0,80,63.73,8.83,30.2,13.87
232,Maltahohe,0,44,-24.83,16.98,75.34,4.63
233,Mecca,0,36,21.43,39.83,91.4,4.9
234,Chanderi,0,39,24.7,78.12,87.54,4.74
235,Salinopolis,76,100,-0.61,-47.36,79.17,5.3
236,Vezirkopru,75,58,41.14,35.45,57.2,10.29
237,Nyagan,76,59,62.14,65.43,12.79,9.6
238,Karachi,0,11,24.87,67.03,91.4,4.7
239,Iisalmi,0,55,63.56,27.19,6.8,4.7
240,Ostersund,90,85,63.18,14.64,21.2,12.75
241,Kamyshevatskaya,24,90,46.41,37.96,35.43,11.39
242,Lima,24,83,-12.06,-77.04,57.75,1.99
243,Hofn,0,100,64.25,-15.21,31.74,24.99
244,Lahij,0,16,13.06,44.88,89.97,8.88
245,Mahenge,20,61,-8.68,36.72,87.54,2.06
246,Riyadh,0,12,24.63,46.72,84.2,4.7
247,Kobyzhcha,90,100,50.83,31.5,32.0,4.47
248,Guane,36,99,22.2,-84.09,68.01,5.91
249,Iqaluit,5,83,63.75,-68.52,-9.41,3.36
250,Purranque,75,87,-40.91,-73.16,57.2,1.12
251,Mayuge,0,93,0.46,33.48,79.62,4.34
252,Susice,0,92,49.23,13.52,37.4,10.29
253,Salalah,0,48,17.01,54.1,82.4,4.7
254,Saintes,0,86,45.74,-0.63,44.6,5.82
255,Karaton,40,70,-6.34,106.1,87.8,8.05
256,Harper,1,52,30.3,-99.24,48.2,4.7
257,Almonte,90,92,45.23,-76.19,28.4,10.29
258,Piacabucu,32,90,-10.41,-36.43,74.58,6.02
259,Antalaha,64,95,-14.9,50.28,81.33,4.85
260,Isakly,92,89,54.13,51.53,15.76,9.1
261,Borovoy,68,74,63.23,52.89,13.47,11.95
262,Gambela,0,31,8.25,34.59,90.06,4.9
263,Luba,24,81,17.32,120.7,77.55,0.98
264,Capoterra,0,81,39.18,8.97,50.0,2.24
265,Sultanpur,0,59,26.26,82.07,83.71,6.02
266,Tabou,12,96,4.42,-7.36,82.05,4.52
267,Zakharovo,56,90,54.37,39.28,21.16,15.14
268,Havoysund,0,61,71.0,24.66,14.0,8.05
269,Matagami,0,64,9.67,8.4,80.61,6.08
270,Uruana,68,97,-15.5,-49.69,68.32,3.56
271,Quimper,64,93,48.0,-4.1,44.6,6.93
272,Guanica,0,100,17.97,-66.91,71.79,9.37
273,Dalvik,90,100,57.79,14.13,26.6,9.17
274,Kargopol,0,74,61.51,38.95,0.33,4.56
275,Bubaque,0,88,11.28,-15.83,71.6,4.7
276,Hobyo,0,56,5.35,48.53,84.97,19.95
277,Kyabe,8,16,9.45,18.94,96.9,6.87
278,Larsnes,0,86,62.2,5.58,33.8,1.12
279,Ginebra,75,94,3.72,-76.27,69.8,3.36
280,Pila,40,74,14.24,121.36,84.2,6.93
281,Warmbad,75,80,50.67,13.08,41.0,9.17
282,Trebinje,40,81,42.71,18.35,50.0,12.75
283,Dori,0,20,14.03,-0.03,86.14,5.91
284,Brigantine,40,91,39.41,-74.36,37.4,10.29
285,Termez,0,23,37.23,67.28,75.2,6.93
286,Akureyri,75,92,65.68,-18.09,21.2,2.73
287,Konskie,88,100,51.19,20.41,39.03,11.45
288,Codrington,92,80,-28.95,153.24,67.83,7.87
289,Girvan,20,92,55.24,-4.86,35.6,2.24
290,Noyabrsk,0,83,63.2,75.45,9.42,9.89
291,Chimbote,44,92,-9.08,-78.59,64.72,1.72
292,Lasa,0,56,34.92,32.53,69.8,10.29
293,Mairana,88,99,-18.12,-63.96,58.47,1.77
294,Soure,90,100,40.06,-8.63,48.2,14.99
295,Killybegs,0,100,54.63,-8.45,42.54,10.11
296,Konch,0,29,26.0,79.15,90.19,4.07
297,Concordia,0,91,-31.4,-58.02,59.19,8.66
298,Bonavista,64,85,48.65,-53.11,25.53,15.41
299,Carutapera,56,95,-1.2,-46.02,77.91,3.33
300,Hoopstad,92,89,-27.83,25.91,70.12,9.66
301,Carauari,76,98,-4.88,-66.9,72.24,2.51
302,Mango,0,70,44.69,8.15,46.4,5.82
303,Luangwa,12,98,-15.62,30.4,79.44,5.35
304,Kalemie,12,95,-5.95,29.2,79.89,3.85
305,Coruripe,48,100,-10.12,-36.18,79.35,13.29
306,Montepuez,56,100,-13.13,39.0,80.7,4.29
307,Caravelas,76,100,-17.73,-39.27,80.47,16.42
308,Kansanshi,0,89,-12.1,26.43,77.91,4.52
309,Padang,32,100,-0.92,100.36,82.59,2.55
310,Marzuq,0,13,14.4,46.47,79.21,8.37
311,Salamiyah,0,30,35.01,37.05,77.59,7.43
312,Cantanhede,80,95,-3.64,-44.38,74.85,3.0
313,Burriana,75,87,39.89,-0.08,50.0,6.93
314,Ufimskiy,12,58,56.71,58.05,13.06,11.68
315,Guarda,92,99,40.54,-7.27,44.61,4.63
316,Hammerfest,0,61,70.66,23.68,17.6,8.05
317,Iturama,76,94,-19.73,-50.2,72.06,0.83
318,Taltal,0,97,-25.41,-70.49,44.74,1.05
319,Usinsk,80,84,66.0,57.56,15.45,12.57
320,Chuy,0,100,-33.69,-53.46,53.79,3.62
321,Hithadhoo,68,100,-0.6,73.08,83.85,11.9
322,Beloha,36,57,-25.17,45.06,83.49,9.66
323,Satis,0,87,54.92,43.23,17.34,11.34
324,Cayenne,100,83,4.94,-52.33,77.0,8.81
325,Ilulissat,68,77,69.22,-51.1,3.2,16.11
326,Angoche,24,98,-16.23,39.91,85.38,8.37
327,Waddan,24,25,29.16,16.14,76.29,6.58
328,Jacareacanga,88,98,-6.22,-57.76,73.23,2.21
329,Haukipudas,0,60,65.17,25.5,10.4,10.29
330,Bunesti,0,87,46.83,27.97,42.8,2.24
331,Mitsamiouli,75,89,-11.38,43.28,84.2,4.7
332,Ibimirim,80,98,-8.54,-37.69,68.91,3.78
333,Sept-Iles,90,85,50.2,-66.38,24.8,10.29
334,Kalmunai,56,86,7.42,81.82,83.04,7.31
335,Sorland,0,63,67.67,12.69,26.6,19.46
336,Mangan,24,67,27.5,88.54,37.81,1.99
337,Aksarka,0,78,66.56,67.8,10.77,11.27
338,Jamestown,24,61,-33.21,138.6,70.66,12.06
339,Sazonovo,76,90,54.2,39.81,23.32,15.93
340,Yarmouth,20,100,50.71,-1.5,42.8,13.87
341,Taoudenni,0,32,22.68,-3.98,73.36,6.42
342,Fillan,0,80,63.6,8.98,30.2,13.87
343,Luderitz,0,75,-26.65,15.16,64.99,15.7
344,Sur,0,81,22.57,59.53,78.9,3.33
345,Awjilah,32,30,29.14,21.3,80.16,7.31
346,Stepnyak,0,88,52.83,70.79,14.19,16.08
347,Arona,0,93,45.76,8.56,37.4,4.7
348,Dingle,0,58,11.0,122.67,85.2,14.29
349,Saint-Denis,90,93,48.94,2.36,42.8,14.99
350,Iralaya,32,94,15.0,-83.23,74.26,7.09
351,Upernavik,48,100,72.79,-56.15,-4.27,18.54
352,Tevriz,68,63,57.51,72.4,15.81,11.56
353,Viedma,0,40,-40.81,-62.99,68.77,14.14
354,Ladario,92,99,40.7,-7.74,44.25,3.11
355,Husavik,0,59,50.56,-96.99,-2.2,3.0
356,Schluchtern,40,80,49.15,9.1,41.0,5.82
357,Omboue,0,100,-1.57,9.26,82.81,6.24
358,Talnakh,64,84,69.49,88.39,2.62,2.77
359,Grabouw,75,64,-34.15,19.01,68.0,10.29
360,Narsaq,0,43,60.91,-46.05,12.2,2.24
361,Pestovo,40,61,55.36,37.98,19.4,8.95
362,Ushuaia,40,81,-54.81,-68.31,42.8,4.7
363,Kavaratti,0,100,10.57,72.64,83.44,3.33
364,Badou,24,83,7.58,0.61,79.62,4.85
365,Biltine,8,15,14.53,20.93,95.55,14.07
366,Villanueva,0,67,12.96,-86.82,69.18,7.31
367,Desbiens,90,79,48.42,-71.95,26.6,12.75
368,Pervomayskoye,56,76,57.07,86.23,11.71,16.64
369,Cristalina,36,90,-16.77,-47.61,66.48,2.1
